property_id,amenities,age_years,condition,hoa_fee,energy_rating,school_score,walk_score
PROP201205,"Club House, Intercom, Pool",4,Needs Renovation,2894,F,44,69
PROP201206,"Parking, Lift",23,Good,1874,B,98,40
PROP201207,"Power Backup, Gym",4,Good,2719,E,86,88
PROP201208,"Gym, Wifi, Security, Play Area",22,Old,686,B,80,72
PROP201209,"Lift, Wifi, Play Area, CCTV",2,Needs Renovation,1114,F,59,59
PROP201210,"Garden, Lift, Play Area, CCTV, Power Backup",,Old,3248,F,76,89
PROP201211,"Intercom, Club House, Lift, Gym",16,Old,2547,C,62,93
PROP201212,"Club House, Gym, Lift",24,Good,852,D,43,58
PROP201213,"CCTV, Power Backup",3,Old,3626,C,92,54
PROP201214,"CCTV, Play Area, Garden, Security",24,Old,3824,C,48,74
PROP201215,"Club House, Intercom, Play Area",,Good,3451,A,52,95
PROP201216,"Power Backup, Gym",20,Needs Renovation,2445,C,63,85
PROP201217,"CCTV, Lift",21,Good,,D,53,41
PROP201218,"Lift, Parking, Intercom, Club House, Security",37,New,2357,A,66,76
PROP201219,"Garden, Intercom",23,Needs Renovation,2275,E,96,82
PROP201220,"Club House, Parking, Wifi",32,Needs Renovation,3180,A,97,86
PROP201221,"Lift, Power Backup, Security, Wifi, Garden",5,Old,2218,C,43,52
PROP201222,"Pool, Club House, Parking, Gym, CCTV",4,Good,2594,E,46,38
PROP201223,"Power Backup, Pool, Parking, Wifi, Lift",24,New,2629,E,79,50
PROP201224,"Parking, Pool, Club House",10,Needs Renovation,2200,C,72,40
PROP201225,"Lift, Wifi, CCTV, Security",18,Good,2511,B,74,57
PROP201226,"Lift, Club House, CCTV, Gym, Wifi",23,Needs Renovation,1459,C,,39
PROP201227,"CCTV, Intercom, Play Area",29,New,3132,B,,66
PROP201228,"Security, Pool, Play Area, CCTV, Garden",24,Needs Renovation,4138,A,,96
PROP201229,"Wifi, CCTV",10,New,3579,F,92,41
PROP201230,"Pool, Intercom",26,Old,3170,C,78,49
PROP201231,"Security, Gym, Intercom",26,Good,,B,58,82
PROP201232,"Power Backup, Parking, Security, Wifi, Pool",9,Good,1215,E,88,79
PROP201233,"Play Area, Power Backup, Garden, Gym, Pool",23,Good,3300,C,51,37
PROP201234,"Garden, Lift, Parking, CCTV, Intercom",25,Needs Renovation,3680,F,,45
PROP201235,"Wifi, Gym, CCTV",27,New,,F,66,38
PROP201236,"Power Backup, Play Area",24,Needs Renovation,2581,D,81,95
PROP201237,"Parking, Wifi",15,Good,3931,A,,57
PROP201238,"Intercom, Play Area",35,New,,A,60,95
PROP201239,"Club House, Lift, Pool, Power Backup",15,Needs Renovation,2467,F,71,
PROP201240,"Intercom, Gym, Play Area, Parking",32,Needs Renovation,1781,D,91,
PROP201241,"Power Backup, Club House, Wifi, Intercom, Lift",36,New,3257,D,,
PROP201242,"Gym, Play Area",37,New,2807,C,55,65
PROP201243,"Security, Pool, Intercom, Parking, Wifi",36,Old,1386,F,86,78
PROP201244,"Wifi, Intercom, Lift",0,New,831,F,64,
PROP201245,"Intercom, Garden, Wifi",37,New,3229,C,95,51
PROP201246,"Club House, CCTV, Garden, Power Backup",38,Needs Renovation,1893,C,49,39
PROP201247,"CCTV, Gym, Garden",2,Old,2459,B,67,76
PROP201248,"Garden, Pool, Intercom, Parking, Club House",,New,347,B,45,88
PROP201249,"Club House, Power Backup, Intercom, Play Area, Gym",2,Old,2635,C,90,55
PROP201250,"Gym, Play Area",8,New,3298,C,73,69
PROP201251,"Power Backup, Pool, Intercom, Play Area, Wifi",33,Good,3143,C,82,36
PROP201252,"Gym, Pool, Intercom",30,Needs Renovation,1625,C,47,
PROP201253,"Power Backup, CCTV, Intercom",16,New,2719,F,70,57
PROP201254,"Security, Club House",30,Old,2647,F,49,34
PROP201255,"Pool, Play Area",6,Needs Renovation,2276,A,53,
PROP201256,"Garden, Intercom",38,New,2793,E,47,66
PROP201257,"CCTV, Pool",22,Needs Renovation,3133,A,71,76
PROP201258,"Parking, Wifi, Gym, Lift, Security",11,Old,2710,A,62,38
PROP201259,"Security, Lift, Gym, Garden",35,Needs Renovation,1754,B,80,89
PROP201260,"CCTV, Club House",4,New,1796,E,75,92
PROP201261,"Parking, Gym, Play Area",18,Needs Renovation,3820,C,55,37
PROP201262,"Club House, Play Area, Parking, Lift, Garden",31,Needs Renovation,3296,E,67,77
PROP201263,"Intercom, Lift, Garden",15,Needs Renovation,1551,F,67,34
PROP201264,"Pool, Lift",12,Good,1194,E,55,73
PROP201265,"Gym, CCTV, Pool, Wifi",29,Good,4584,E,91,97
PROP201266,"Parking, Intercom, Play Area, Lift",24,Good,0,A,98,45
PROP201267,"Security, Parking, Power Backup",0,Needs Renovation,1755,C,90,53
PROP201268,"Gym, Lift, CCTV",34,Needs Renovation,1435,D,61,74
PROP201269,"Parking, Security, Play Area, Wifi, Power Backup",8,Good,180,E,96,33
PROP201270,"Parking, Wifi, Garden, Gym",28,Old,3870,F,99,55
PROP201271,"CCTV, Play Area, Garden, Wifi",7,Good,2120,D,56,37
PROP201272,"Pool, Gym, Play Area, Club House, Wifi",24,Old,3366,A,99,43
PROP201273,"Play Area, Lift, Wifi",31,Good,,C,99,63
PROP201274,"Intercom, Pool, Wifi, Security, Parking",23,New,1820,C,46,72
PROP201275,"Parking, Garden",22,Good,3125,A,91,54
PROP201276,"Security, Pool, Gym, Intercom, Play Area",20,Old,4058,E,42,39
PROP201277,"Lift, Parking, Power Backup, Intercom, CCTV",28,Old,1549,A,67,
PROP201278,"Power Backup, Gym, Garden, Wifi",9,Old,2529,F,52,78
PROP201279,"CCTV, Garden, Intercom",37,New,3332,D,40,72
PROP201280,"Gym, Parking",27,New,1847,F,46,83
PROP201281,"Wifi, Intercom, CCTV, Garden, Security",16,New,3330,F,58,56
PROP201282,"Wifi, Parking, Intercom",,New,2519,C,98,88
PROP201283,"Play Area, Lift, Club House",17,Good,2912,C,53,60
PROP201284,"Parking, Lift",9,Old,1443,C,68,58
PROP201285,"Pool, Gym, Intercom, CCTV, Security",35,Needs Renovation,2864,D,88,48
PROP201286,"Security, Wifi, Power Backup, Gym, Intercom",7,Good,4020,B,99,93
PROP201287,"Power Backup, Intercom, Wifi",19,Good,1229,F,52,
PROP201288,"Club House, Power Backup, Gym, Security",0,Needs Renovation,2170,C,96,63
PROP201289,"Club House, Play Area, Garden, Gym",7,Needs Renovation,1964,D,53,88
PROP201290,"Club House, Garden, Security",39,Old,2625,D,84,84
PROP201291,"Gym, Play Area, Power Backup, Intercom, CCTV",30,Good,2319,F,54,89
PROP201292,"Parking, Lift, Play Area",,Good,3293,D,40,43
PROP201293,"Intercom, Club House, Power Backup",19,Needs Renovation,1993,F,94,37
PROP201294,"Security, CCTV",39,Good,2557,A,85,46
PROP201295,"CCTV, Wifi, Gym, Security",5,Needs Renovation,2465,D,49,35
PROP201296,"Wifi, Lift, Play Area",35,Good,3355,F,53,45
PROP201297,"Club House, Garden, Gym, Power Backup, Wifi",2,Needs Renovation,3181,C,87,53
PROP201298,"CCTV, Lift, Garden, Wifi",32,Old,1576,A,86,32
PROP201299,"Power Backup, Parking, Club House, Gym, Play Area",19,Good,3200,E,,65
PROP201300,"Pool, Security, Lift, Gym, CCTV",13,New,3434,D,82,35
PROP201301,"Power Backup, Intercom",17,Needs Renovation,336,D,63,83
PROP201302,"Wifi, Security",37,Good,4119,F,83,99
PROP201303,"Gym, Pool, Wifi, Play Area",12,Good,2677,E,85,89
PROP201304,"Lift, Security, Gym, Intercom",7,Old,2421,B,,79
PROP201305,"Play Area, Lift, Gym",20,Good,,B,78,
PROP201306,"Garden, Security, Intercom, Parking",,Old,3386,F,73,47
PROP201307,"Play Area, Security, Parking, Pool, Intercom",28,Good,3013,D,83,
PROP201308,"Garden, Pool, Security",1,New,1837,F,63,38
PROP201309,"Intercom, Gym",35,Needs Renovation,4432,D,84,82
PROP201310,"Wifi, Pool, Gym, Garden, Power Backup",0,Good,3439,C,85,52
PROP201311,"Intercom, Play Area",15,Needs Renovation,3494,A,63,77
PROP201312,"Play Area, Wifi, Garden",10,Old,2076,F,42,94
PROP201313,"Pool, Gym, Lift, Club House",37,Old,3161,E,88,65
PROP201314,"Garden, Parking, Security",36,Old,,E,47,46
PROP201315,"Security, CCTV, Intercom, Wifi, Gym",9,Needs Renovation,2441,A,54,42
PROP201316,"Security, CCTV",24,Needs Renovation,2784,B,93,75
PROP201317,"CCTV, Garden",26,Needs Renovation,1819,A,51,52
PROP201318,"Intercom, Security, Lift, Wifi",31,Needs Renovation,4586,C,66,
PROP201319,"Lift, CCTV",12,Needs Renovation,1714,E,,77
PROP201320,"Parking, Lift, CCTV",35,Old,1249,F,66,48
PROP201321,"Wifi, Gym, Pool",22,New,1929,C,97,43
PROP201322,"Pool, Garden",,New,3613,C,81,32
PROP201323,"Club House, Gym, Power Backup, Play Area, Pool",0,New,3581,C,,48
PROP201324,"Garden, Security",38,New,1981,B,97,44
PROP201325,"Garden, Gym, CCTV, Power Backup, Pool",,Old,3378,A,,
PROP201326,"Garden, CCTV",,Old,2083,B,71,74
PROP201327,"Wifi, Lift, Gym, Club House, Parking",26,New,1584,B,63,39
PROP201328,"Parking, CCTV, Power Backup, Club House, Wifi",0,Old,1480,F,53,
PROP201329,"Play Area, Security, Wifi",4,Needs Renovation,1282,F,76,46
PROP201330,"Gym, Wifi, Club House, Power Backup",38,Old,2535,C,41,87
PROP201331,"Intercom, Garden, Gym, Wifi",,Good,1813,D,95,38
PROP201332,"Gym, Parking",7,New,1784,B,85,76
PROP201333,"Gym, Intercom",33,New,2402,F,72,
PROP201334,"Lift, Play Area, Wifi, Security, CCTV",30,New,2962,D,43,59
PROP201335,"Power Backup, Intercom, Security, Pool, Lift",10,Good,2011,E,42,56
PROP201336,"Intercom, Garden, Parking, CCTV",4,Needs Renovation,1373,F,44,73
PROP201337,"Play Area, Pool, Garden",39,Needs Renovation,57,B,96,54
PROP201338,"Pool, Parking, Gym, Club House",24,Old,1407,A,66,49
PROP201339,"Club House, Lift, Parking",21,Needs Renovation,3364,D,68,54
PROP201340,"Pool, Play Area, Garden",12,Needs Renovation,2613,B,84,48
PROP201341,"Lift, Intercom, CCTV, Club House",7,Good,3751,B,89,92
PROP201342,"Pool, Play Area, Gym, Garden, Club House",30,Needs Renovation,3293,F,73,
PROP201343,"Garden, Play Area, Security, Club House, Wifi",6,Needs Renovation,1420,B,74,54
PROP201344,"Club House, Gym, Play Area, Lift",37,New,3478,E,89,62
PROP201345,"Play Area, Lift",5,Good,1916,C,65,87
PROP201346,"Security, Pool, CCTV, Garden",15,Good,2620,F,85,67
PROP201347,"Security, Intercom",33,Good,1733,D,63,56
PROP201348,"Intercom, Garden, Security",34,New,637,B,72,87
PROP201349,"Power Backup, Lift",24,Old,,C,51,82
PROP201350,"Garden, Pool, Lift",,Needs Renovation,1910,E,42,41
PROP201351,"Lift, Parking, Security, Power Backup",1,New,2660,D,61,34
PROP201352,"Power Backup, Play Area, Security, Intercom",19,Old,3004,F,75,73
PROP201353,"Lift, Pool",35,Needs Renovation,1969,E,77,96
PROP201354,"Parking, CCTV, Wifi",3,Needs Renovation,4665,C,92,73
PROP201355,"Garden, CCTV, Pool, Gym",2,New,1168,A,71,
PROP201356,"Play Area, Garden, Parking, Intercom",39,Needs Renovation,1271,D,42,96
PROP201357,"Club House, Parking, Play Area, Pool",26,Old,,D,,49
PROP201358,"Security, Gym, Club House",26,Old,2012,C,53,44
PROP201359,"Security, Wifi, Lift",22,Needs Renovation,4059,A,43,37
PROP201360,"Wifi, CCTV, Play Area, Power Backup",1,Needs Renovation,1857,A,89,78
PROP201361,"Gym, Play Area, Wifi, Power Backup",36,Good,1722,F,87,54
PROP201362,"Security, Wifi, Lift",36,Needs Renovation,4556,F,79,89
PROP201363,"Intercom, Gym, Pool, Parking",27,New,2590,F,76,83
PROP201364,"CCTV, Lift, Play Area, Power Backup, Club House",6,New,2614,C,97,
PROP201365,"Gym, Garden, Pool, Parking",10,Good,,E,89,60
PROP201366,"Wifi, Garden, Club House, CCTV, Gym",23,Old,3632,B,,45
PROP201367,"Club House, CCTV, Wifi",7,Good,2371,C,73,31
PROP201368,"Security, Power Backup",16,Needs Renovation,0,D,67,67
PROP201369,"Intercom, Gym",8,Needs Renovation,2622,B,75,82
PROP201370,"Lift, Garden, Gym",,New,3029,B,87,69
PROP201371,"Wifi, Play Area, Lift, Club House, Garden",23,Good,,E,60,58
PROP201372,"Power Backup, Wifi, Garden, Intercom",25,New,5192,A,42,92
PROP201373,"Pool, Security, Gym, CCTV, Play Area",19,Good,2584,F,,50
PROP201374,"Wifi, Garden, Parking",27,Needs Renovation,2831,C,,41
PROP201375,"Intercom, CCTV, Wifi, Garden",8,Needs Renovation,1939,F,77,38
PROP201376,"Gym, Power Backup, CCTV, Intercom",7,Good,3924,C,69,
PROP201377,"Lift, Club House, Gym",5,Good,2754,D,73,44
PROP201378,"Gym, CCTV",28,Good,542,C,73,99
PROP201379,"Lift, Play Area",38,Good,3068,A,72,45
PROP201380,"Parking, Security",23,New,,A,77,74
PROP201381,"Wifi, Garden, Parking, Pool, CCTV",34,Needs Renovation,2044,B,88,58
PROP201382,"CCTV, Gym, Intercom",4,Old,,B,80,80
PROP201383,"Play Area, Intercom, Garden",22,New,,A,86,77
PROP201384,"CCTV, Lift, Intercom, Gym",21,New,2218,F,64,84
PROP201385,"Security, Intercom, Club House",28,Good,2258,E,98,70
PROP201386,"Wifi, Gym, Power Backup, Lift",13,Good,2145,B,41,94
PROP201387,"CCTV, Gym, Play Area, Wifi, Garden",36,Good,2571,E,69,67
PROP201388,"Garden, Parking, Power Backup",1,New,1960,C,40,50
PROP201389,"Security, Play Area, Parking",0,Needs Renovation,2079,C,97,37
PROP201390,"Intercom, Pool, Lift, Security",28,Old,2710,B,91,85
PROP201391,"Pool, Security",14,Good,4044,E,75,59
PROP201392,"Pool, Gym, Power Backup, Intercom, CCTV",23,Needs Renovation,1572,A,79,89
PROP201393,"Security, CCTV, Pool, Lift, Club House",13,New,1904,D,76,
PROP201394,"Parking, Pool, Garden",37,Old,997,E,98,42
PROP201395,"CCTV, Lift",19,Needs Renovation,3610,F,99,41
PROP201396,"Pool, Parking, Gym, Garden, Intercom",33,Needs Renovation,1322,F,82,
PROP201397,"Club House, Wifi, Security, Pool",30,Good,1862,D,40,84
PROP201398,"Garden, Intercom, Power Backup, Lift",26,Old,1670,B,57,53
PROP201399,"Wifi, Pool",0,Good,1270,A,97,60
PROP201400,"Pool, Intercom, Garden, Club House, Power Backup",35,Good,1464,B,59,82
PROP201401,"Play Area, Wifi, Parking",34,Old,4771,F,77,35
PROP201402,"Security, Wifi",5,Old,1755,D,42,50
PROP201403,"Play Area, Gym, Parking, Security, Club House",31,Old,2173,D,75,80
PROP201404,"Parking, Power Backup, Pool, Lift, Gym",33,Needs Renovation,2434,F,91,64
PROP201405,"Garden, Intercom",,New,817,F,79,79
PROP201406,"Parking, Lift",16,Good,4385,E,41,65
PROP201407,"Power Backup, Intercom, Security, Club House, Gym",18,Needs Renovation,3466,C,88,33
PROP201408,"Wifi, Gym, Security",0,New,1518,C,53,58
PROP201409,"Parking, CCTV, Pool",33,Old,2525,A,91,45
PROP201410,"Lift, Gym",30,Good,2416,A,56,81
PROP201411,"Security, Power Backup, Lift, Intercom",26,Needs Renovation,2631,D,85,80
PROP201412,"Parking, CCTV",36,New,4116,A,42,
PROP201413,"Pool, Garden, CCTV, Gym",16,Needs Renovation,1284,E,,71
PROP201414,"Play Area, Lift",19,Needs Renovation,3357,B,73,31
PROP201415,"Intercom, Play Area, Garden",10,Good,5301,D,77,77
PROP201416,"Power Backup, Play Area, Parking, Lift",16,Good,2196,D,74,35
PROP201417,"Security, Play Area, Power Backup, Intercom",,Needs Renovation,0,F,99,43
PROP201418,"Intercom, Wifi",37,Good,4051,E,53,74
PROP201419,"Play Area, Club House, Gym, Lift, Power Backup",23,Good,1108,C,,36
PROP201420,"Garden, Parking, Pool, Security",15,New,2441,A,,52
PROP201421,"Pool, Gym, Intercom, Security, Club House",18,Good,2535,C,92,82
PROP201422,"Pool, Intercom, Parking, CCTV",25,Needs Renovation,2223,F,42,77
PROP201423,"Lift, Pool, Intercom",15,Old,3091,C,50,96
PROP201424,"Garden, Power Backup, Wifi",32,Old,1553,B,76,55
PROP201425,"Parking, Lift, Club House",20,New,3251,C,92,68
PROP201426,"Power Backup, Lift, Pool, Intercom, Club House",22,Old,3263,D,51,85
PROP201427,"Club House, Power Backup, Intercom, Gym",2,Good,1726,D,54,91
PROP201428,"Garden, Power Backup, Parking, Pool, Security",10,Needs Renovation,1654,F,91,96
PROP201429,"Garden, Wifi, Play Area, Pool, Gym",10,Good,3415,B,99,42
PROP201430,"CCTV, Pool, Garden, Gym, Wifi",22,Old,1325,D,49,53
PROP201431,"Garden, Wifi, Intercom, Club House, Security",15,Good,3204,E,65,41
PROP201432,"Pool, Parking, Garden, Wifi",22,Old,3841,A,66,89
PROP201433,"Club House, Intercom, Power Backup",8,Old,2126,C,78,94
PROP201434,"CCTV, Wifi",26,Old,3648,D,64,39
PROP201435,"CCTV, Parking, Club House, Pool, Garden",0,Good,1728,D,44,77
PROP201436,"Parking, Security, Gym, Intercom, Power Backup",26,Good,1592,A,42,41
PROP201437,"Power Backup, Intercom, Garden",27,Good,2810,A,99,54
PROP201438,"Intercom, Wifi, Club House, Gym",27,New,1442,A,,61
PROP201439,"Wifi, Power Backup, Play Area, Lift, Security",35,Old,1560,F,73,99
PROP201440,"Lift, Wifi, Gym, Intercom, Pool",7,Good,3063,F,70,82
PROP201441,"CCTV, Pool, Power Backup, Gym, Lift",9,New,1897,D,44,59
PROP201442,"Wifi, Gym, Play Area, Garden",26,Needs Renovation,,E,41,82
PROP201443,"Power Backup, Wifi, Parking, Intercom, CCTV",21,Old,1763,F,71,93
PROP201444,"Gym, Club House, Pool, Garden, Wifi",15,New,1867,F,83,77
PROP201445,"Wifi, Pool, Garden, Club House, CCTV",22,Good,293,F,53,52
PROP201446,"Security, Gym, Parking, Garden, Play Area",12,Needs Renovation,2628,A,74,89
PROP201447,"Club House, Wifi, Lift, Security, Intercom",24,Old,1215,B,57,83
PROP201448,"Security, CCTV, Power Backup, Wifi, Gym",28,Needs Renovation,,D,99,62
PROP201449,"CCTV, Power Backup, Gym, Intercom",21,New,,A,86,74
PROP201450,"CCTV, Security, Play Area, Gym",0,Good,1954,E,97,93
PROP201451,"Play Area, CCTV, Security",23,Needs Renovation,0,F,70,32
PROP201452,"Power Backup, Security, CCTV, Lift, Intercom",12,Old,2231,C,51,63
PROP201453,"Lift, CCTV",27,New,2828,B,85,59
PROP201454,"Pool, Garden, Club House, Parking, CCTV",26,New,2751,D,40,87
PROP201455,"Play Area, Power Backup",15,Good,2332,F,60,50
PROP201456,"Intercom, Wifi, Security",31,Old,3441,D,43,56
PROP201457,"Parking, CCTV, Security, Club House, Play Area",4,New,2258,C,51,50
PROP201458,"Club House, Power Backup, Gym, Garden, Play Area",20,Needs Renovation,2954,E,63,89
PROP201459,"Parking, Garden, Gym, Play Area",2,Old,6214,B,91,81
PROP201460,"CCTV, Club House, Gym, Intercom",19,New,2622,A,64,30
PROP201461,"Power Backup, Intercom",20,New,2325,B,58,58
PROP201462,"Security, Intercom, Lift",28,Needs Renovation,2820,F,80,
PROP201463,"Gym, Club House, Security",,Good,2754,D,94,37
PROP201464,"Parking, Security",39,Old,2457,F,98,58
PROP201465,"Gym, Pool, Power Backup",15,Needs Renovation,1899,D,78,72
PROP201466,"Wifi, Pool, Power Backup",14,Old,2844,C,65,61
PROP201467,"Security, CCTV",,New,274,E,68,85
PROP201468,"Pool, Parking",10,Needs Renovation,2268,E,79,44
PROP201469,"Gym, CCTV",37,New,1392,F,77,89
PROP201470,"Club House, Gym, Wifi, CCTV",11,New,1381,A,62,64
PROP201471,"Pool, Power Backup, Security",36,Old,1543,E,,97
PROP201472,"Garden, Parking, Gym, Power Backup, Lift",8,Needs Renovation,3520,C,67,53
PROP201473,"Lift, Parking",24,Needs Renovation,983,D,81,
PROP201474,"Gym, Intercom",31,New,2248,D,75,90
PROP201475,"Garden, CCTV",32,Needs Renovation,2441,F,41,49
PROP201476,"Garden, Intercom, Pool",20,Good,1650,D,66,49
PROP201477,"Security, Parking, Intercom, Gym",20,New,2224,C,69,35
PROP201478,"Garden, Intercom, Power Backup",10,Needs Renovation,2208,A,45,55
PROP201479,"Pool, Garden, Gym",24,Good,1848,B,74,52
PROP201480,"CCTV, Play Area, Gym",26,New,3182,B,79,64
PROP201481,"Lift, Wifi, Club House",3,Good,2713,C,55,94
PROP201482,"Parking, Club House",26,Needs Renovation,5030,F,76,51
PROP201483,"Gym, Parking",13,New,1800,B,57,97
PROP201484,"Intercom, Lift, CCTV",11,Good,719,E,47,71
PROP201485,"Pool, Lift",6,Old,2394,D,69,80
PROP201486,"Play Area, Parking, Club House, Power Backup, Security",18,New,5003,A,92,46
PROP201487,"Club House, CCTV",26,Good,,D,56,92
PROP201488,"Security, Power Backup, Pool",24,Old,2712,F,53,76
PROP201489,"CCTV, Intercom, Pool, Parking",29,Needs Renovation,3792,F,89,33
PROP201490,"Lift, Security, Wifi, Power Backup, CCTV",28,Old,2950,E,99,95
PROP201491,"Play Area, Gym",16,Old,3262,B,91,36
PROP201492,"CCTV, Lift, Parking",15,Old,2619,E,92,31
PROP201493,"Play Area, Lift, Wifi, Power Backup",34,Old,1939,D,82,77
PROP201494,"Lift, Parking, Gym, Play Area, Garden",24,Good,3933,B,,
PROP201495,"CCTV, Lift",29,New,2866,D,95,97
PROP201496,"Garden, Play Area, Gym, Intercom",6,Old,4187,F,57,96
PROP201497,"Garden, Wifi, Intercom, Security",11,Needs Renovation,,A,53,81
PROP201498,"Security, Lift, Play Area, Club House, Parking",3,New,1341,C,43,67
PROP201499,"Gym, Parking, Security, CCTV, Power Backup",3,New,2797,E,42,30
PROP201500,"Parking, Gym",35,Needs Renovation,5030,B,98,98
PROP201501,"Club House, Security, Play Area",20,Old,2016,C,43,63
PROP201502,"Play Area, Intercom, Security",,Good,2249,E,,76
PROP201503,"Power Backup, Wifi",17,Good,2493,D,74,43
PROP201504,"Intercom, Play Area",9,Old,3424,D,48,83
PROP201505,"Club House, CCTV, Intercom",5,Good,3754,B,55,48
PROP201506,"Security, Play Area, Pool, Gym",34,Old,4401,D,47,94
PROP201507,"Power Backup, Club House, Lift, Security, Pool",12,New,1485,B,99,33
PROP201508,"Wifi, Intercom, Lift, Parking, Pool",11,New,2650,B,99,77
PROP201509,"Intercom, Play Area, Club House",0,Needs Renovation,2272,C,59,61
PROP201510,"CCTV, Parking, Pool",21,New,3578,D,82,76
PROP201511,"CCTV, Intercom, Club House, Security",18,Old,3440,E,66,67
PROP201512,"Gym, Wifi",23,Needs Renovation,,D,,
PROP201513,"Intercom, Lift, Play Area, Gym, CCTV",2,New,4649,B,70,71
PROP201514,"Security, Wifi, Club House, Parking",8,Good,2621,B,65,62
PROP201515,"Wifi, Intercom, Gym",6,New,4543,E,,57
PROP201516,"Garden, Power Backup, Lift, Wifi, CCTV",12,Old,3820,D,41,77
PROP201517,"Garden, Gym, Play Area, Club House",30,Good,1817,E,,72
PROP201518,"Power Backup, Garden",34,Needs Renovation,1858,B,93,87
PROP201519,"Gym, Garden, Power Backup, Wifi, Club House",25,Old,1549,A,95,43
PROP201520,"Intercom, Parking, Lift, Security, Wifi",1,Old,3098,F,,72
PROP201521,"Play Area, Lift, Pool, Power Backup",32,Good,2336,F,94,86
PROP201522,"Gym, Lift, Wifi",,Needs Renovation,1058,B,,70
PROP201523,"Lift, CCTV, Power Backup",15,New,1647,B,76,95
PROP201524,"Gym, CCTV, Lift, Garden",27,Good,117,B,77,68
PROP201525,"Play Area, Lift, Garden, Gym",31,Needs Renovation,3165,D,91,71
PROP201526,"Pool, Power Backup, Gym",,Good,2626,B,91,84
PROP201527,"Gym, Club House",31,Old,2275,A,63,81
PROP201528,"Parking, CCTV, Intercom, Play Area",,Needs Renovation,3121,A,58,30
PROP201529,"Wifi, Power Backup",34,New,3295,C,99,84
PROP201530,"CCTV, Security, Intercom",33,Good,3205,B,48,64
PROP201531,"Garden, Wifi, Play Area",2,Old,1537,B,76,92
PROP201532,"Play Area, CCTV, Gym, Intercom, Club House",27,New,2581,F,78,48
PROP201533,"Security, Club House, Parking, Play Area",22,Good,3788,B,91,
PROP201534,"Intercom, Lift, Power Backup",2,Needs Renovation,538,E,44,72
PROP201535,"Pool, CCTV",25,Needs Renovation,3810,F,54,58
PROP201536,"CCTV, Lift",30,Old,2316,C,48,36
PROP201537,"Pool, Wifi, Parking",14,Good,4259,F,,64
PROP201538,"Intercom, Play Area, Pool",16,Needs Renovation,444,D,85,86
PROP201539,"Play Area, Gym, Pool",31,Old,,C,80,90
PROP201540,"Lift, Wifi, Pool",6,Old,,D,52,37
PROP201541,"Parking, Pool, Garden",37,Good,4478,D,80,68
PROP201542,"Lift, Wifi, Power Backup, Play Area",5,Old,1646,F,72,73
PROP201543,"Garden, Power Backup",,Old,1831,E,46,76
PROP201544,"Garden, Parking",30,New,,D,83,90
PROP201545,"Pool, Garden, Lift, Parking, Security",30,Needs Renovation,4441,D,90,
PROP201546,"Club House, Gym",38,New,,C,86,55
PROP201547,"Parking, Intercom, Wifi, Power Backup",1,Old,4190,E,66,93
PROP201548,"Power Backup, Parking, Lift",3,Old,1365,B,63,67
PROP201549,"Garden, Intercom",,New,3170,D,86,86
PROP201550,"CCTV, Lift, Pool, Intercom, Gym",37,New,3818,C,55,50
PROP201551,"Club House, Play Area, Parking, Garden",30,Good,4273,F,93,93
PROP201552,"Play Area, Security, Lift, Wifi, Pool",7,Needs Renovation,2010,C,70,55
PROP201553,"Power Backup, CCTV, Pool, Intercom, Play Area",16,New,2813,A,91,74
PROP201554,"Intercom, Play Area, CCTV, Club House, Security",19,Old,1531,A,86,70
PROP201555,"Pool, Intercom, Gym, Lift",10,Good,3613,D,62,62
PROP201556,"Intercom, Gym, Pool, Garden, Power Backup",3,Needs Renovation,1988,A,44,43
PROP201557,"Wifi, CCTV, Power Backup, Parking, Lift",36,New,1449,D,98,56
PROP201558,"Wifi, Garden, CCTV",27,Needs Renovation,2027,E,95,65
PROP201559,"Club House, CCTV",10,New,5225,D,,54
PROP201560,"Lift, Intercom, Club House",28,Good,2675,E,64,59
PROP201561,"Garden, Wifi, Parking",22,New,4810,E,70,68
PROP201562,"Intercom, Garden, Pool, Play Area",16,Old,957,A,45,48
PROP201563,"Play Area, Gym",9,Needs Renovation,3324,C,71,64
PROP201564,"Gym, Play Area, CCTV, Power Backup, Parking",9,Old,1880,D,64,38
PROP201565,"CCTV, Play Area, Garden, Security, Pool",36,New,2242,D,68,94
PROP201566,"Intercom, Power Backup, Lift, Club House",9,Good,,E,49,81
PROP201567,"Parking, Lift, Security, Wifi",6,Old,2845,B,61,98
PROP201568,"Power Backup, Gym, Club House, Garden",,Good,3161,E,,68
PROP201569,"Garden, Lift",16,Needs Renovation,3318,A,76,56
PROP201570,"Parking, Lift",,Good,859,B,,63
PROP201571,"Power Backup, CCTV",6,Good,2564,F,79,96
PROP201572,"Wifi, Security",8,Old,2615,F,56,65
PROP201573,"Intercom, Power Backup, Wifi, Lift",12,Good,0,C,40,65
PROP201574,"Security, Pool",15,Needs Renovation,2350,D,90,
PROP201575,"Parking, Lift, Security, Pool",32,New,3729,D,67,66
PROP201576,"Power Backup, Play Area, Lift",8,New,,A,,32
PROP201577,"Gym, Intercom, Pool",22,New,1998,E,63,75
PROP201578,"Lift, Gym",26,New,1963,E,73,83
PROP201579,"Play Area, Wifi",32,Needs Renovation,2759,E,70,57
PROP201580,"Security, Lift, Play Area",5,Needs Renovation,2430,D,,90
